Posttest,WM AVG,Znorm,aWM,Experiment
0.558333333,1.78125,-0.323098737,0.323098737,1
0.366666667,1.96875,-0.135598737,0.135598737,1
0.233333333,0.453125,-1.651223737,1.651223737,1
0.2,0.984375,-1.119973737,1.119973737,1
0.716666667,0.421875,-1.682473737,1.682473737,1
0.691666667,0.546875,-1.557473737,1.557473737,1
0.183333333,1.84375,-0.260598737,0.260598737,1
0.5166667,1.015625,-1.088723737,1.088723737,1
0.533333333,1.125,-0.979348737,0.979348737,1
0.05,2.359375,0.255026263,-0.255026263,1
0.233333333,1.921875,-0.182473737,0.182473737,1
0.266666667,1.421875,-0.682473737,0.682473737,1
0.216666667,1.90625,-0.198098737,0.198098737,1
0.516666667,0.546875,-1.557473737,1.557473737,1
0.216666667,1.65625,-0.448098737,0.448098737,1
0.25,1.640625,-0.463723737,0.463723737,1
0.4,0.75,-1.354348737,1.354348737,1
0.433333333,3.111832187,0.785432341,0.785432341,2
0.104166667,-0.536694267,-2.863094113,-2.863094113,2
0.0625,1.521484898,-0.804914949,-0.804914949,2
0.125,1.252313804,-1.074086043,-1.074086043,2
0.083333333,3.645496567,1.319096721,1.319096721,2
0.604166667,2.358315149,0.031915302,0.031915302,2
0.083333333,1.302789387,-1.023610459,-1.023610459,2
0.125,0.598621304,-1.727778542,-1.727778542,2
0.25,3.255182238,0.928782391,0.928782391,2
0.333333333,3.451641943,1.125242097,1.125242097,2
0.333333333,3.115466201,0.789066355,0.789066355,2
0.270833333,2.248973132,-0.077426715,-0.077426715,2
0.104166667,1.027119883,-1.299279964,-1.299279964,2
0.083333333,2.228999237,-0.097400609,-0.097400609,2
0.104166667,2.248973132,-0.077426715,-0.077426715,2
0.208333333,2.782637512,0.456237665,0.456237665,2
0.020833333,2.561827927,0.23542808,0.23542808,2
0.541666667,2.124011669,-0.202388177,-0.202388177,2
0.733333333,3.667829272,1.341429425,1.341429425,2
0.283333333,3.335000582,1.008600735,1.008600735,2
0.0625,2.468507512,0.142107666,0.142107666,2
0.395833333,1.805952078,-0.520447768,-0.520447768,2
0.270833333,2.986031854,0.659632008,0.659632008,2
0.104166667,1.094968337,-1.23143151,-1.23143151,2
0.25,2.944686252,0.618286406,0.618286406,2
0.9375,3.115466201,0.789066355,0.789066355,2
0.395833333,2.087261739,-0.239138107,-0.239138107,2
0.125,2.801336202,0.474936356,0.474936356,2
0.0625,2.248973132,-0.077426715,-0.077426715,2
